0,0,161,18
0,0,161,18
0,0,161,18
79,0,161,18
149,0,161,18
197,0,161,18
229,0,161,18
30,30,161,18
60,30,161,18
100,30,161,18
200,30,161,18
249,30,161,18
298,30,161,18
60,60,161,18
88,60,161,18
103,60,161,18
155,60,161,18
199,60,161,18
249,60,161,18
299,60,161,18
347,60,161,18
399,60,161,18
449,60,161,18
100,100,161,18
164,100,161,18
199,100,161,18
248,100,161,18
269,100,161,18
300,100,161,18
349,100,161,18
442,100,161,18
597,100,161,18
150,150,161,18
198,150,161,18
199,150,161,18
249,150,161,18
298,150,161,18
348,150,161,18
399,150,161,18
448,150,161,18
498,150,161,18
642,150,161,18
23.5,25,265,21
61.8,25,265,21
93.8,25,265,21
130.3,25,265,21
173.1,25,265,21
232.9,25,265,21
268.8,45,265,21
42.8,45,265,21
93.7,45,265,21
124.3,45,265,21
159.3,45,265,21
182.5,45,265,21
241.3,45,265,21
263.3,45,265,21
292.5,45,265,21
62.5,65,265,21
113.3,65,265,21
152.4,65,265,21
207.6,65,265,21
258.9,65,265,21
306.4,65,265,21
390.1,65,265,21
83.9,85,265,21
125.9,85,265,21
149.7,85,265,21
230,85,265,21
303.5,85,265,21
371,85,265,21
440.3,85,265,21
103.3,105,265,21
165.2,105,265,21
202.1,105,265,21
264.9,105,265,21
330.7,105,265,21
350.8,105,265,21
411,105,265,21
266.2,105,265,21
122.7,125,265,21
185.8,125,265,21
241.1,125,265,21
288.1,125,265,21
358.8,125,265,21
410.5,125,265,21
457.8,125,265,21
510.1,125,265,21
254.2,145,265,21
292.3,145,265,21
318.7,145,265,21
341.6,145,265,21
386.6,145,265,21
404.4,145,265,21
450.9,145,265,21
25,25,265,21
66,25,265,21
96,25,265,21
129,25,265,21
174,25,265,21
229,25,265,21
272,25,265,21
45,45,265,21
97,45,265,21
126,45,265,21
160,45,265,21
183,45,265,21
240,45,265,21
266,45,265,21
294,45,265,21
60,60,265,21
65,65,265,21
117,65,265,21
153,65,265,21
208,65,265,21
262,65,265,21
318,65,265,21
393,65,265,21
85,85,265,21
128,85,265,21
153,85,265,21
233,85,265,21
306,85,265,21
376,85,265,21
445,85,265,21
105,105,265,21
167,105,265,21
205,105,265,21
268,105,265,21
270,105,265,21
334,105,265,21
356,105,265,21
415,105,265,21
125,125,265,21
187,125,265,21
239,125,265,21
293,125,265,21
362,125,265,21
414,125,265,21
463,125,265,21
516,125,265,21
253,145,265,21
296,145,265,21
324,145,265,21
349,145,265,21
392,145,265,21
410,145,265,21
455,145,265,21
45,45,265,21
97,45,265,21
60,60,265,21
65,65,265,21
117,65,265,21
153,65,265,21
208,65,265,21
318,65,265,21
85,85,265,21
128,85,265,21
153,85,265,21
233,85,265,21
306,85,265,21
105,105,265,21
167,105,265,21
205,105,265,21
268,105,265,21
270,105,265,21
334,105,265,21
356,105,265,21
415,105,265,21
125,125,265,21
187,125,265,21
239,125,265,21
293,125,265,21
362,125,265,21
414,125,265,21
463,125,265,21
516,125,265,21
145,145,265,21
253,145,265,21
296,145,265,21
324,145,265,21
343,145,265,21
392,145,265,21
410,145,265,21
455,145,265,21
200,200,265,21
19.1,20,310,22
52.2,20,310,22
91,20,310,22
165,20,310,22
203.4,20,310,22
230.9,20,310,22
40.1,40,310,22
39.9,10,310,22
80.4,10,310,22
112.8,10,310,22
189.6,10,310,22
267.2,10,310,22
312.4,10,310,22
57,60,310,22
87.1,60,310,22
99.5,60,310,22
111.1,60,310,22
162.1,60,310,22
196.1,60,310,22
271.4,60,310,22
80.5,80,310,22
124.9,80,310,22
149.6,80,310,22
205.4,80,310,22
220.9,80,310,22
280.3,80,310,22
293.8,80,310,22
373,80,310,22
448.1,80,310,22
0,0,310,22
20,20,310,22
51,20,310,22
92,20,310,22
165,20,310,22
206,20,310,22
233,20,310,22
40,40,310,22
40,40,310,22
80,40,310,22
113,40,310,22
193,40,310,22
274,40,310,22
315,40,310,22
60,60,310,22
87,60,310,22
102,60,310,22
113,60,310,22
164,60,310,22
197,60,310,22
275,60,310,22
345,60,310,22
80,80,310,22
126,80,310,22
150,80,310,22
208,80,310,22
225,80,310,22
283,80,310,22
298,80,310,22
